# [capture]
# author = "appendix-c-ja-transcriber"
# date = "2026-08-07"
#
# Four cells print a bare footnote marker in table_ja3.pdf with no accompanying `×` or
# `not` mark (C.2 notes 9 through 12), matching table_en3.pdf byte for byte. See
# table2.en.tsv's own preamble for the full adjudication; the summary: cl-24,cl-13
# (C.2#9) and cl-27,cl-27 (C.2#12) each state an unconditional "no line break
# opportunity" and are recorded as `not`, following Table 1's B.2#3/B.2#5 precedent of
# substituting a note's definite stated value for a bare marker. cl-24,cl-27 (C.2#10) is
# a genuine two-way JLReq-undecided choice, already covered by
# `Question::GROUPED_NUMERAL_BEFORE_WESTERN` (`jlreq = breakable`), so the `blank`
# recorded here is that default, not an unadjudicated token. cl-27,cl-13 (C.2#11) states
# a role-conditional exception outside Table 2's class-level cell shape; the `blank`
# recorded here is the general (non-quantity-role) case the note itself calls the
# default.
source	table	before	after	token	note
table_ja3.pdf	2	cl-01	cl-01	not	
table_ja3.pdf	2	cl-02	cl-01	blank	
table_ja3.pdf	2	cl-03	cl-01	blank	
table_ja3.pdf	2	cl-04	cl-01	blank	
table_ja3.pdf	2	cl-05	cl-01	blank	
table_ja3.pdf	2	cl-06	cl-01	blank	
table_ja3.pdf	2	cl-07	cl-01	blank	
table_ja3.pdf	2	cl-08	cl-01	blank	
table_ja3.pdf	2	cl-09	cl-01	blank	
table_ja3.pdf	2	cl-10	cl-01	blank	
table_ja3.pdf	2	cl-11	cl-01	blank	
table_ja3.pdf	2	cl-12	cl-01	not	
table_ja3.pdf	2	cl-13	cl-01	blank	
table_ja3.pdf	2	cl-14	cl-01	blank	
table_ja3.pdf	2	cl-15	cl-01	blank	
table_ja3.pdf	2	cl-16	cl-01	blank	
table_ja3.pdf	2	cl-19	cl-01	blank	
table_ja3.pdf	2	cl-20	cl-01	blank	
table_ja3.pdf	2	cl-21	cl-01	blank	
table_ja3.pdf	2	cl-22	cl-01	blank	
table_ja3.pdf	2	cl-23	cl-01	blank	
table_ja3.pdf	2	cl-24	cl-01	blank	
table_ja3.pdf	2	cl-25	cl-01	blank	
table_ja3.pdf	2	cl-26	cl-01	blank	
table_ja3.pdf	2	cl-27	cl-01	blank	
table_ja3.pdf	2	cl-28	cl-01	not	
table_ja3.pdf	2	cl-29	cl-01	blank	
table_ja3.pdf	2	cl-30	cl-01	blank	
table_ja3.pdf	2	cl-01	cl-02	not	
table_ja3.pdf	2	cl-02	cl-02	not	
table_ja3.pdf	2	cl-03	cl-02	not	
table_ja3.pdf	2	cl-04	cl-02	not	
table_ja3.pdf	2	cl-05	cl-02	not	
table_ja3.pdf	2	cl-06	cl-02	not	
table_ja3.pdf	2	cl-07	cl-02	not	
table_ja3.pdf	2	cl-08	cl-02	not	
table_ja3.pdf	2	cl-09	cl-02	not	
table_ja3.pdf	2	cl-10	cl-02	not	
table_ja3.pdf	2	cl-11	cl-02	not	
table_ja3.pdf	2	cl-12	cl-02	not	
table_ja3.pdf	2	cl-13	cl-02	not	
table_ja3.pdf	2	cl-14	cl-02	not	
table_ja3.pdf	2	cl-15	cl-02	not	
table_ja3.pdf	2	cl-16	cl-02	not	
table_ja3.pdf	2	cl-19	cl-02	not	
table_ja3.pdf	2	cl-20	cl-02	not	
