# [capture]
# author = "appendix-d-table3-ja-transcriber"
# date = "2026-08-07"
#
# Transcribed from table_ja4.pdf, Table 3 (JLReq's own reduction-priority
# reading, Appendix D). See table3.en.tsv's preamble for the full reconciliation
# record -- the two adjudicated cells, the five colored-but-textless cl-26
# cells backfilled from Table 1, the three D.2-note cells, and the cl-05/line-end
# open question -- which applies identically here since the two files were
# reconciled together and (per ADR 0009) must agree cell for cell except where a
# genuine document divergence is recorded, and both such divergences are resolved
# to the same reading in both files here.
source	table	before	after	token	note
table_ja4.pdf	3	cl-01	cl-01	blank	
table_ja4.pdf	3	cl-02	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-03	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-04	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-05	cl-01	1/4-0 stage 4	
table_ja4.pdf	3	cl-06	cl-01	1/2	
table_ja4.pdf	3	cl-07	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-08	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-09	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-10	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-11	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-12	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-13	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-14	cl-01	blank	
table_ja4.pdf	3	cl-15	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-16	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-19	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-20	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-21	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-22	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-23	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-24	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-25	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-26	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-27	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-28	cl-01	blank	
table_ja4.pdf	3	cl-29	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	cl-30	cl-01	1/2-0 stage 5	
table_ja4.pdf	3	line-head	cl-01	blank	
table_ja4.pdf	3	cl-01	cl-02	blank	
table_ja4.pdf	3	cl-02	cl-02	blank	
table_ja4.pdf	3	cl-03	cl-02	blank	
table_ja4.pdf	3	cl-04	cl-02	blank	
table_ja4.pdf	3	cl-05	cl-02	1/4-0 stage 4	
table_ja4.pdf	3	cl-06	cl-02	blank	
table_ja4.pdf	3	cl-07	cl-02	blank	
table_ja4.pdf	3	cl-08	cl-02	blank	
table_ja4.pdf	3	cl-09	cl-02	blank	
table_ja4.pdf	3	cl-10	cl-02	blank	
table_ja4.pdf	3	cl-11	cl-02	blank	
table_ja4.pdf	3	cl-12	cl-02	blank	
table_ja4.pdf	3	cl-13	cl-02	blank	
table_ja4.pdf	3	cl-14	cl-02	blank	
table_ja4.pdf	3	cl-15	cl-02	blank	
table_ja4.pdf	3	cl-16	cl-02	blank	
table_ja4.pdf	3	cl-19	cl-02	blank	
