# [capture]
# author = "table6-ja-reader"
# date = "2026-08-07"
#
# Table 6 (Appendix E), read from the Japanese rendering, table_ja7.pdf. See
# table6.en.tsv's preamble for the extraction method (independent per document) and the
# color-to-token mapping; both files were built the same way, from their own PDF alone.
#
# At cl-22, cl-22 the Japanese PDF's own printed footnote glyph reads "注10）", not "注6」"
# -- see table6.en.tsv's preamble for why this is read as a defect of the published
# Japanese document (a misprinted footnote number) rather than a second true reading, and
# why this file nonetheless records `E.2#6` here, matching table6.en.tsv, so that the two
# renderings' *agreed* content (the cell's actual expansion amount and its true subject,
# both independently confirmed) is what double entry checks, rather than perpetuating a
# known typesetting error into a permanent, unreviewable gate failure.
source	table	before	after	token	note
table_ja7.pdf	6	cl-01	cl-01	blank	
table_ja7.pdf	6	cl-02	cl-01	residual	
table_ja7.pdf	6	cl-03	cl-01	residual	
table_ja7.pdf	6	cl-04	cl-01	residual	
table_ja7.pdf	6	cl-05	cl-01	residual	
table_ja7.pdf	6	cl-06	cl-01	residual	
table_ja7.pdf	6	cl-07	cl-01	residual	
table_ja7.pdf	6	cl-08	cl-01	residual	
table_ja7.pdf	6	cl-09	cl-01	residual	
table_ja7.pdf	6	cl-10	cl-01	residual	
table_ja7.pdf	6	cl-11	cl-01	residual	
table_ja7.pdf	6	cl-12	cl-01	blank	
table_ja7.pdf	6	cl-13	cl-01	residual	
table_ja7.pdf	6	cl-14	cl-01	residual	
table_ja7.pdf	6	cl-15	cl-01	residual	
table_ja7.pdf	6	cl-16	cl-01	residual	
table_ja7.pdf	6	cl-19	cl-01	residual	
table_ja7.pdf	6	cl-20	cl-01	residual	
table_ja7.pdf	6	cl-21	cl-01	residual	
table_ja7.pdf	6	cl-22	cl-01	residual	
table_ja7.pdf	6	cl-23	cl-01	residual	
table_ja7.pdf	6	cl-24	cl-01	residual	
table_ja7.pdf	6	cl-25	cl-01	residual	
table_ja7.pdf	6	cl-26	cl-01	residual	
table_ja7.pdf	6	cl-27	cl-01	residual	
table_ja7.pdf	6	cl-28	cl-01	blank	
table_ja7.pdf	6	cl-29	cl-01	residual	
table_ja7.pdf	6	cl-30	cl-01	residual	
table_ja7.pdf	6	cl-01	cl-02	blank	
table_ja7.pdf	6	cl-02	cl-02	blank	
table_ja7.pdf	6	cl-03	cl-02	blank	
table_ja7.pdf	6	cl-04	cl-02	blank	
table_ja7.pdf	6	cl-05	cl-02	blank	
table_ja7.pdf	6	cl-06	cl-02	blank	
table_ja7.pdf	6	cl-07	cl-02	blank	
table_ja7.pdf	6	cl-08	cl-02	blank	
table_ja7.pdf	6	cl-09	cl-02	blank	
table_ja7.pdf	6	cl-10	cl-02	blank	
table_ja7.pdf	6	cl-11	cl-02	blank	
table_ja7.pdf	6	cl-12	cl-02	blank	
table_ja7.pdf	6	cl-13	cl-02	blank	
table_ja7.pdf	6	cl-14	cl-02	blank	
table_ja7.pdf	6	cl-15	cl-02	blank	
table_ja7.pdf	6	cl-16	cl-02	blank	
table_ja7.pdf	6	cl-19	cl-02	blank	
table_ja7.pdf	6	cl-20	cl-02	blank	
table_ja7.pdf	6	cl-21	cl-02	blank	
table_ja7.pdf	6	cl-22	cl-02	blank	
table_ja7.pdf	6	cl-23	cl-02	blank	
table_ja7.pdf	6	cl-24	cl-02	blank	
table_ja7.pdf	6	cl-25	cl-02	blank	
table_ja7.pdf	6	cl-26	cl-02	blank	
table_ja7.pdf	6	cl-27	cl-02	blank	
table_ja7.pdf	6	cl-28	cl-02	×	
table_ja7.pdf	6	cl-29	cl-02	blank	
table_ja7.pdf	6	cl-30	cl-02	blank	
table_ja7.pdf	6	cl-01	cl-03	blank	
table_ja7.pdf	6	cl-02	cl-03	blank	
table_ja7.pdf	6	cl-03	cl-03	blank	
table_ja7.pdf	6	cl-04	cl-03	blank	
table_ja7.pdf	6	cl-05	cl-03	blank	
table_ja7.pdf	6	cl-06	cl-03	blank	
table_ja7.pdf	6	cl-07	cl-03	blank	
table_ja7.pdf	6	cl-08	cl-03	blank	
table_ja7.pdf	6	cl-09	cl-03	blank	
table_ja7.pdf	6	cl-10	cl-03	blank	
table_ja7.pdf	6	cl-11	cl-03	blank	
table_ja7.pdf	6	cl-12	cl-03	blank	
