# spec/derived/anchors.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every section the published rendering numbers, in document order, addressed by that rendering's own number rather than by the anchor slug beside it.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/derive.rs, xtask/src/inventory.rs
# Reader SHA-256: 71d060ca426af22f7aa6b34424a01c5035090d63895e5543db9be62e97880231

address	anchor	title_en	title_ja
# Three numbered sections are absent, deliberately. The address grammar
# docs/design/address-corpus.tsv fixes runs to seven appendices, A through G, while
# the published document runs to J; H References, I Acknowledgements and J Revision
# Log state no requirement anything could cite. An appendix past them, or normative
# content appearing in one of those three, fails this derivation.
1	introduction	Introduction	序論
1.1	purpose_of_this_document	Purpose of This Document	この文書の目的
1.2	how_this_document_was_created	How This Document was Created	この文書の作成方法
1.3	basic_principles_for_development_of_this_document	Basic Principles for Development of This Document	この文書の執筆方針
1.4	the_structure_of_this_document	The Structure of This Document	この文書の構成
1.5	reference_of_definition_and_others	Reference of Definition and Others	用語の参照その他
2	basics_of_japanese_composition	Basics of Japanese Composition	日本語組版の基本
2.1	characters_and_the_principles_of_setting_them_for_japanese_composition	Characters and the Principles of Setting them for Japanese Composition	日本語組版に使用する文字と配置の原則
2.1.1	characters_used_for_japanese_composition	Characters Used for Japanese Composition	日本語組版に使用する文字
2.1.2	kanji_hiragana_and_katakana	Kanji, Hiragana and Katakana	漢字等，平仮名，片仮名
2.1.3	principles_of_arrangement_of_kanji_and_kana_characters	Principles of Arrangement of Kanji and Kana Characters	漢字及び仮名の配置の原則
2.2	page_formats_for_japanese_documents	Page Formats for Japanese Documents	日本語文書の基本となる組体裁
2.2.1	specification_of_page_formats	Specification of Page Formats	組体裁の設計
2.2.2	basic_templates_of_page_formats	Basic Templates of Page Formats	基本となる組体裁
2.2.3	elements_of_page_formats	Elements of Page Formats	基本となる組体裁の主な設計要素
2.2.4	elements_of_kihonhanmen	Elements of Kihon-hanmen	基本版面の設計要素
2.2.5	kihonhanmen_and_examples_of_real_page_format	Kihon-hanmen and Examples of Real Page Format	基本版面と実際のページの設計例
2.3	vertical_writing_mode_and_horizontal_writing_mode	Vertical Writing Mode and Horizontal Writing Mode	組方向（縦組と横組）
2.3.1	directional_factors_in_japanese_composition	Directional Factors in Japanese Composition	日本語組版における組方向
2.3.2	major_differences_between_vertical_writing_mode_and_horizontal_writing_mode	Major Differences between Vertical Writing Mode and Horizontal Writing Mode	縦組と横組の主な相違点
2.4	specifying_the_kihonhanmen	Specifying the Kihon-hanmen	基本版面の設計
2.4.1	procedure_for_defining_the_kihonhanmen	Procedure for Defining the Kihon-hanmen	基本版面の設計手順
2.4.2	considerations_in_designing_the_kihonhanmen	Considerations in Designing the Kihon-hanmen	基本版面の設計の注意点
2.5	page_wise_arrangement_of_kihonhanmen_elements	Page wise Arrangement of Kihon-hanmen Elements	基本版面の設計要素の各ページに対する適用
2.5.1	examples_of_items_jutting_out_of_the_kihonhanmen	Examples of Items Jutting Out of the Kihon-hanmen	基本版面からはみ出す例
2.5.2	line_positioning_based_on_the_kihonhanmen_design	Line Positioning based on the Kihon-hanmen Design	基本版面で設定した行位置の適用
2.5.3	character_positioning_based_on_kihonhanmen_design	Character Positioning based on Kihon-hanmen Design	基本版面で設定した文字位置の適用
2.6	running_heads_and_page_numbers	Running Heads and Page Numbers	柱とノンブル
2.6.1	positioning_of_running_heads_and_page_numbers	Positioning of Running Heads and Page Numbers	柱及びノンブルの位置
2.6.2	principles_of_arrangement_of_running_heads_and_page_numbers	Principles of Arrangement of Running Heads and Page Numbers	柱及びノンブルの配置の原則
2.6.3	ways_of_arranging_running_heads_and_page_numbers	Ways of Arranging Running Heads and Page Numbers	柱及びノンブルの配置方式
3	line-composition	Line Composition	行の組版処理
3.1	line_composition_rules_for_punctuation_marks	Line Composition Rules for Punctuation Marks	約物などの組版処理
3.1.1	differences_in_vertical_and_horizontal_composition_in_use_of_punctuation_marks	Differences in Vertical and Horizontal Composition in Use of Punctuation Marks	縦組と横組で異なる約物など
3.1.2	positioning_of_punctuation_marks	Positioning of Punctuation Marks (Commas, Periods and Brackets)	句読点や，括弧類などの基本的な配置方法
3.1.3	exceptional_positioning_of_ideographic_comma_and_katakana_middle_dot	Exceptional Positioning of Ideographic Comma and Katakana Middle Dot	読点及び中点の例外的な配置方法
3.1.4	positioning_of_consecutive_opening_brackets_closing_brackets_comma_full_stops_and_middle_dots	Positioning of Consecutive Opening Brackets, Closing Brackets, Commas, Full Stops and Middle Dots	始め括弧類，終わり括弧類，読点類，句点類及び​中点類が​連続する​場合の​配置方法
3.1.5	positioning_of_opening_brackets_at_line_head	Positioning of Opening Brackets at Line Head	行頭の​始め括弧類の​配置方法
3.1.6	positioning_of_dividing_punctuation_marks	Positioning of Dividing Punctuation Marks (Question Mark and Exclamation Mark) and Hyphens	区切り約物及びハイフン類の配置方法
3.1.7	characters_not_starting_a_line	Characters Not Starting a Line	行頭禁則
3.1.8	characters_not_ending_a_line	Characters Not Ending a Line	行末禁則
3.1.9	positioning_of_closing_brackets_full_stops_commas_and_middle_dots_at_line_end	Positioning of Closing Brackets, Full Stops, Commas and Middle Dots at Line End	行末に配置する終わり括弧類，句点類，読点類及び​中点類の​配置方法
3.1.10	unbreakable_character_sequences	Unbreakable Character Sequences	分割禁止
3.1.11	character_sequences_which_do_not_allow_space_insertion_as_part_of_line_adjustment_processing	Character Sequences which Do Not Allow Increase of Spacing as Part of Line Adjustment Processing	行の調整処理で​字間を​空ける処理に​使用しない箇所
3.1.12	examples_of_line_adjustment	Examples of Line Adjustment	行の調整処理例
3.2	japanese_and_western_mixed_text_composition	Japanese and Western Mixed Text Composition (including Horizontal-in-Vertical Text Composition)	和欧文混植処理（縦中横処理を含む）
3.2.1	composition_of_japanese_and_western_mixed_texts	Composition of Japanese and Western Mixed Texts	和文と欧文との混植
3.2.2	mixed_text_composition_in_horizontal_writing_mode	Mixed Text Composition in Horizontal Writing Mode	横組の和欧文混植に用いる文字
3.2.3	mixed_text_composition_in_vertical_writing_mode	Mixed Text Composition in Vertical Writing Mode	縦組の和欧文混植に用いる文字
3.2.4	method_for_setting_fullwidth_latin_letters_and_european_numerals	Method for Setting Full-width Latin Letters and European Numerals	全角のモノスペースの欧字及び​全角の​モノスペースの​アラビア数字の​配置方法
3.2.5	handling_of_tatechuyoko	Handling of Tate-chu-yoko (Horizontal-in-Vertical Settings)	縦中横の処理
3.2.6	handling_of_western_text_in_japanese_text_using_proportional_western_fonts	Handling of Western Text in Japanese Text using Proportional Western Fonts	プロポーショナルな​欧字を用いた​和欧文混植処理
3.3	ruby_and_emphasis_dots	Ruby and Emphasis Dots	ルビと圏点処理
3.3.1	usage_of_ruby	Usage of Ruby	ルビの使用
3.3.2	choice_of_base_characters_to_be_annotated_by_ruby	Choice of Base Characters to be Annotated by Ruby	ルビの付け方
3.3.3	choice_of_size_for_ruby_characters	Choice of Size for Ruby Characters	ルビの文字サイズ
3.3.4	choice_of_sides_for_ruby_with_respect_to_base_characters	Choice of Sides for Ruby with Respect to Base Characters	親文字のどちら側にルビを付けるか
3.3.5	positioning_of_monoruby_with_respect_to_base_characters	Positioning of Mono-ruby with Respect to Base Characters	モノルビの親文字に対する配置位置
3.3.6	positioning_of_groupruby_with_respect_to_base_characters	Positioning of Group-ruby with Respect to Base Characters	グループルビの親文字に対する配置位置
3.3.7	positioning_of_jukugoruby_with_respect_to_base_characters	Positioning of Jukugo-ruby with Respect to Base Characters	熟語ルビの親文字に対する配置位置
3.3.8	adjustments_of_ruby_with_length_longer_than_that_of_the_base_characters	Adjustments of Ruby with Length Longer than that of the Base Characters	ルビが親文字よりはみ出した場合の処理
3.3.9	composition_of_emphasis_dots	Composition of Emphasis Dots	圏点の処理
3.4	inline_cutting_note	Inline Cutting Note (Warichu)	割注処理
3.4.1	where_the_inline_cutting_note_is_used	Where the Inline Cutting Note (Warichu) is used	割注の利用
3.4.2	character_size_for_inline_cutting_notes_and_line_gaps	Character Size for Inline Cutting Notes and Line Gaps	割注の文字サイズと行間など
3.4.3	handling_an_inline_cutting_note_when_it_straddles_two_kihonhanmen_lines	Handling an Inline Cutting Note when it Straddles Two Kihon-hanmen Lines	割注を本文の2行以上にわたって配置する処理
3.5	paragraph_adjustment_rules	Paragraph Adjustment Rules	段落整形，そろえ及び段落末尾処理
3.5.1	line_head_indent_at_the_beginning_of_paragraphs	Line Head Indent at the Beginning of Paragraphs	段落先頭行の字下げ
3.5.2	line_head_indent_and_line_end_indent	Line Head Indent and Line End Indent	字下げと字上げ
3.5.3	single_line_alignment_processing	Single Line Alignment Processing	そろえの処理
3.5.4	widow_adjustment_of_paragraphs	Widow Adjustment of Paragraphs	段落末尾処理
3.6	tab_setting	Tab Setting	タブ処理
3.6.1	usage_of_tab_setting	Usage of Tab Setting	タブ処理の利用
3.6.2	types_of_tab_settings	Types of Tab Settings	タブ処理で指定する配置位置にそろえる形式
3.6.3	the_method_of_setting_the_target_text	The Method of Setting the Target Text	タブ処理を行う対象の文字列の配置方法
3.7	other_rules_of_japanese_typesetting	Other Rules of Japanese Typesetting	その他の行組版処理
3.7.1	superscripts_and_superscripts	Superscripts and Superscripts	添え字処理
3.7.2	furiwake_processing	Furiwake Processing	振分け処理
3.7.3	jidori_processing	Jidori Processing	字取り処理
3.7.4	processing_of_math_symbols_and_math_operators	Processing of Math Symbols and Math Operators	等号類と演算記号の処理
3.8	line_adjustment	Line Adjustment	行の調整処理
3.8.1	necessity_for_line_adjustment	Necessity for Line Adjustment	行の調整処理の必要性
3.8.2	reduction_and_addition_of_intercharacter_space	Reduction and Addition of Inter-Character Spacing	詰める処理と空ける処理
3.8.3	procedures_for_intercharacter_space_reduction	Procedures for Inter-Character Spacing Reduction	詰める処理の優先順位
3.8.4	procedures_for_intercharacter_space_expansion	Procedures for Inter-Character Space Expansion	空ける処理の優先順位
3.9	about_character_classes	About Character Classes	文字クラスについて
3.9.1	differences_in_positioning_of_characters_and_symbols	Differences in Positioning of Characters and Symbols	文字・記号により振る舞い方は異なる
3.9.2	grouping_of_characters_and_symbols_depending_on_their_positioning	Grouping of Characters and Symbols depending on their Positioning	文字・記号を振る舞い方により分ける
3.9.3	positioning_methods_for_each_character_class	Positioning Methods for each Character Class	各文字クラスの配置方法
4	hanmen-design	Positioning of Headings, Notes, Illustrations, Tables and Paragraphs	見出し・注・図版・表・段落の配置処理
4.1	handling_of_headings	Handling of Headings (including Page Breaks)	見出し処理（改ページ処理も含む）
4.1.1	types_of_headings	Types of Headings	見出しの種類
4.1.2	elements_of_block_heading	Elements of Block Heading	別行見出しの構成
4.1.3	font_selection_and_font_size_of_heading	Font Selection and Heading Font Size	見出しにアクセントを付ける
4.1.4	how_to_handle_headings_with_new_recto_page_break_and_bew_column	How to Handle Headings with New Recto, Page Break and New Column	改丁・改ページ・改段処理
