# spec/derived/appendix-a.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# Every row of every Appendix A table, in document order: the class that lists the key, the key, and the Remarks cell in both locales.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: ad771cad8de6bae9311db70920802ac43ce400a771a380b386503eb1fa346fcd

class	key	remark-en	remark-ja
cl-01	2018	used in horizontal composition	横組で使用
cl-01	201C	used in horizontal composition	横組で使用
cl-01	0028		
cl-01	3014		
cl-01	005B		
cl-01	007B		
cl-01	3008		
cl-01	300A		
cl-01	300C		
cl-01	300E		
cl-01	3010		
cl-01	2985		
cl-01	3018		
cl-01	3016		
cl-01	00AB		
cl-01	301D	used in vertical composition	縦組で使用
cl-02	2019	used in horizontal composition	横組で使用
cl-02	201D	used in horizontal composition	横組で使用
cl-02	0029		
cl-02	3015		
cl-02	005D		
cl-02	007D		
cl-02	3009		
cl-02	300B		
cl-02	300D		
cl-02	300F		
cl-02	3011		
cl-02	2986		
cl-02	3019		
cl-02	3017		
cl-02	00BB		
cl-02	301F	used in vertical composition	縦組で使用
cl-03	2010	quarter em width	字幅は四分角
cl-03	301C		
cl-03	30A0	half-width	字幅は半角
cl-03	2013	half-width	字幅は半角
cl-04	0021		
cl-04	003F		
cl-04	203C		
cl-04	2047		
cl-04	2048		
cl-04	2049		
cl-05	30FB		
cl-05	003A		
cl-05	003B	used in horizontal composition	横組で使用
cl-06	3002		
cl-06	002E	used in horizontal composition	横組で使用
cl-07	3001		
cl-07	002C	used in horizontal composition	横組で使用
cl-08	2014	Some systems implement U+2015 HORIZONTAL BAR very similar behavior to U+2014 EM DASH	処理系によっては，U+2015 (HORIZONTAL BAR)にも，同様の振る舞いを実装しているものもある
cl-08	2026		
cl-08	2025		
cl-08	3033	used in vertical composition\nU+3035 follows this	縦組で使用\nこの文字の後ろにU+3035が配置される
cl-08	3034	used in vertical composition\nU+3035 follows this	縦組で使用\nこの文字の後ろにU+3035が配置される
cl-08	3035	used in vertical composition	縦組で使用
cl-09	30FD		
cl-09	30FE		
cl-09	309D		
cl-09	309E		
cl-09	3005		
cl-09	303B		
cl-10	30FC		
cl-11	3041		
cl-11	3043		
cl-11	3045		
cl-11	3047		
cl-11	3049		
cl-11	30A1		
cl-11	30A3		
cl-11	30A5		
cl-11	30A7		
cl-11	30A9		
cl-11	3063		
cl-11	3083		
cl-11	3085		
cl-11	3087		
cl-11	308E		
cl-11	3095		
cl-11	3096		
cl-11	30C3		
cl-11	30E3		
cl-11	30E5		
cl-11	30E7		
cl-11	30EE		
cl-11	30F5		
cl-11	30F6		
cl-11	31F0		
cl-11	31F1		
cl-11	31F2		
cl-11	31F3		
cl-11	31F4		
cl-11	31F5		
cl-11	31F6		
cl-11	31F7		
cl-11	31F8		
cl-11	31F9		
cl-11	31FA		
cl-11	31FB		
cl-11	31FC		
cl-11	31FD		
cl-11	31FE		
cl-11	31FF		
cl-11	31F7 309A		
cl-12	00A5		
cl-12	0024		
cl-12	00A3		
cl-12	0023		
cl-12	20AC		
cl-12	2116		
cl-13	00B0	proportionally-spaced	プロポーショナル
cl-13	2032	proportionally-spaced	プロポーショナル
cl-13	2033	proportionally-spaced	プロポーショナル
cl-13	2103		
