# spec/derived/classes.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# The thirty character classes §3.9.2 closes the set at: the id the document anchors each one by, its name in both locales as §3.9.2 writes it, and the Appendix A section that enumerates it where one does.
#
# Source: spec/snapshot/index.html
# Source SHA-256: cfb1def5bf1594d59080a26d8d03c2670bb3116490ab57ef6e131b166a7c832f
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: c08863ffe4a63e2b2ca1cbfc0fe17bf68e5c6bb5e1488d0339654d8358e801be

class	name_en	name_ja	enumeration
cl-01	Opening brackets	始め括弧類	A.1
cl-02	Closing brackets	終わり括弧類	A.2
cl-03	Hyphens	ハイフン類	A.3
cl-04	Dividing punctuation marks	区切り約物	A.4
cl-05	Middle dots	中点類	A.5
cl-06	Full stops	句点類	A.6
cl-07	Commas	読点類	A.7
cl-08	Inseparable characters	分離禁止文字	A.8
cl-09	Iteration marks	繰返し記号	A.9
cl-10	Prolonged sound marks	長音記号	A.10
cl-11	Small kana	小書きの仮名	A.11
cl-12	Prefixed abbreviations	前置省略記号	A.12
cl-13	Postfixed abbreviations	後置省略記号	A.13
cl-14	Full-width ideographic space	和字間隔	A.14
cl-15	Hiragana	平仮名	A.15
cl-16	Katakana	片仮名	A.16
cl-17	Math symbols	等号類	A.17
cl-18	Math operators	演算記号	A.18
cl-19	Ideographic characters	漢字等	A.19
cl-20	Characters as reference marks	合印中の文字	
cl-21	Ornamented character complexes	親文字群中の文字（添え字付き）	
cl-22	Simple-ruby character complexes	親文字群中の文字（熟語ルビ以外のルビ付き）	
cl-23	Jukugo-ruby character complexes	親文字群中の文字（熟語ルビ付き）	
cl-24	Grouped numerals	連数字中の文字	A.24
cl-25	Unit symbols	単位記号中の文字	A.25
cl-26	Western word space	欧文間隔	A.26
cl-27	Western characters	欧文用文字	A.27
cl-28	Warichu opening brackets	割注始め括弧類	A.28
cl-29	Warichu closing brackets	割注終わり括弧類	A.29
cl-30	Characters in tate-chu-yoko	縦中横中の文字	
