# spec/derived/folding.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# The Wide and Narrow compatibility decompositions, and nothing else: full compatibility folding would fold U+2160, a genuine cl-19 member, onto I.
#
# Source: spec/snapshot/ucd/UnicodeData.txt
# Source SHA-256: 2e1efc1dcb59c575eedf5ccae60f95229f706ee6d031835247d843c11d96470c
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: ce181979ff749505ffc0b067cb5898e25e31dfecbedbadb4119e05efe62b9a24

source	target	frame
3000	0020	full-em
FF01	0021	full-em
FF02	0022	full-em
FF03	0023	full-em
FF04	0024	full-em
FF05	0025	full-em
FF06	0026	full-em
FF07	0027	full-em
FF08	0028	full-em
FF09	0029	full-em
FF0A	002A	full-em
FF0B	002B	full-em
FF0C	002C	full-em
FF0D	002D	full-em
FF0E	002E	full-em
FF0F	002F	full-em
FF10	0030	full-em
FF11	0031	full-em
FF12	0032	full-em
FF13	0033	full-em
FF14	0034	full-em
FF15	0035	full-em
FF16	0036	full-em
FF17	0037	full-em
FF18	0038	full-em
FF19	0039	full-em
FF1A	003A	full-em
FF1B	003B	full-em
FF1C	003C	full-em
FF1D	003D	full-em
FF1E	003E	full-em
FF1F	003F	full-em
FF20	0040	full-em
FF21	0041	full-em
FF22	0042	full-em
FF23	0043	full-em
FF24	0044	full-em
FF25	0045	full-em
FF26	0046	full-em
FF27	0047	full-em
FF28	0048	full-em
FF29	0049	full-em
FF2A	004A	full-em
FF2B	004B	full-em
FF2C	004C	full-em
FF2D	004D	full-em
FF2E	004E	full-em
FF2F	004F	full-em
FF30	0050	full-em
FF31	0051	full-em
FF32	0052	full-em
FF33	0053	full-em
FF34	0054	full-em
FF35	0055	full-em
FF36	0056	full-em
FF37	0057	full-em
FF38	0058	full-em
FF39	0059	full-em
FF3A	005A	full-em
FF3B	005B	full-em
FF3C	005C	full-em
FF3D	005D	full-em
FF3E	005E	full-em
FF3F	005F	full-em
FF40	0060	full-em
FF41	0061	full-em
FF42	0062	full-em
FF43	0063	full-em
FF44	0064	full-em
FF45	0065	full-em
FF46	0066	full-em
FF47	0067	full-em
FF48	0068	full-em
FF49	0069	full-em
FF4A	006A	full-em
FF4B	006B	full-em
FF4C	006C	full-em
FF4D	006D	full-em
FF4E	006E	full-em
FF4F	006F	full-em
FF50	0070	full-em
FF51	0071	full-em
FF52	0072	full-em
FF53	0073	full-em
FF54	0074	full-em
FF55	0075	full-em
FF56	0076	full-em
FF57	0077	full-em
FF58	0078	full-em
FF59	0079	full-em
FF5A	007A	full-em
FF5B	007B	full-em
FF5C	007C	full-em
FF5D	007D	full-em
FF5E	007E	full-em
FF5F	2985	full-em
FF60	2986	full-em
FF61	3002	half-em
FF62	300C	half-em
FF63	300D	half-em
FF64	3001	half-em
FF65	30FB	half-em
FF66	30F2	half-em
FF67	30A1	half-em
FF68	30A3	half-em
FF69	30A5	half-em
FF6A	30A7	half-em
FF6B	30A9	half-em
FF6C	30E3	half-em
FF6D	30E5	half-em
FF6E	30E7	half-em
FF6F	30C3	half-em
FF70	30FC	half-em
FF71	30A2	half-em
FF72	30A4	half-em
FF73	30A6	half-em
FF74	30A8	half-em
FF75	30AA	half-em
FF76	30AB	half-em
FF77	30AD	half-em
FF78	30AF	half-em
FF79	30B1	half-em
FF7A	30B3	half-em
FF7B	30B5	half-em
FF7C	30B7	half-em
FF7D	30B9	half-em
FF7E	30BB	half-em
FF7F	30BD	half-em
FF80	30BF	half-em
FF81	30C1	half-em
FF82	30C4	half-em
FF83	30C6	half-em
FF84	30C8	half-em
FF85	30CA	half-em
FF86	30CB	half-em
FF87	30CC	half-em
FF88	30CD	half-em
FF89	30CE	half-em
FF8A	30CF	half-em
FF8B	30D2	half-em
FF8C	30D5	half-em
FF8D	30D8	half-em
FF8E	30DB	half-em
FF8F	30DE	half-em
FF90	30DF	half-em
FF91	30E0	half-em
FF92	30E1	half-em
FF93	30E2	half-em
FF94	30E4	half-em
FF95	30E6	half-em
FF96	30E8	half-em
FF97	30E9	half-em
FF98	30EA	half-em
FF99	30EB	half-em
FF9A	30EC	half-em
FF9B	30ED	half-em
FF9C	30EF	half-em
FF9D	30F3	half-em
FF9E	3099	half-em
FF9F	309A	half-em
FFA0	3164	half-em
FFA1	3131	half-em
FFA2	3132	half-em
FFA3	3133	half-em
FFA4	3134	half-em
FFA5	3135	half-em
FFA6	3136	half-em
FFA7	3137	half-em
FFA8	3138	half-em
FFA9	3139	half-em
FFAA	313A	half-em
FFAB	313B	half-em
FFAC	313C	half-em
FFAD	313D	half-em
FFAE	313E	half-em
FFAF	313F	half-em
FFB0	3140	half-em
FFB1	3141	half-em
FFB2	3142	half-em
FFB3	3143	half-em
FFB4	3144	half-em
FFB5	3145	half-em
FFB6	3146	half-em
FFB7	3147	half-em
FFB8	3148	half-em
FFB9	3149	half-em
FFBA	314A	half-em
FFBB	314B	half-em
FFBC	314C	half-em
FFBD	314D	half-em
FFBE	314E	half-em
FFC2	314F	half-em
FFC3	3150	half-em
FFC4	3151	half-em
FFC5	3152	half-em
FFC6	3153	half-em
FFC7	3154	half-em
FFCA	3155	half-em
FFCB	3156	half-em
FFCC	3157	half-em
FFCD	3158	half-em
FFCE	3159	half-em
FFCF	315A	half-em
FFD2	315B	half-em
FFD3	315C	half-em
FFD4	315D	half-em
FFD5	315E	half-em
FFD6	315F	half-em
FFD7	3160	half-em
FFDA	3161	half-em
FFDB	3162	half-em
FFDC	3163	half-em
FFE0	00A2	full-em
FFE1	00A3	full-em
FFE2	00AC	full-em
FFE3	00AF	full-em
FFE4	00A6	full-em
FFE5	00A5	full-em
FFE6	20A9	full-em
FFE8	2502	half-em
FFE9	2190	half-em
FFEA	2191	half-em
FFEB	2192	half-em
FFEC	2193	half-em
FFED	25A0	half-em
FFEE	25CB	half-em
