# spec/derived/ideographs.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# The Unified_Ideograph ranges, which are the members of cl-19 that §A.19's table deliberately does not list.
#
# Source: spec/snapshot/ucd/PropList.txt
# Source SHA-256: 130dcddcaadaf071008bdfce1e7743e04fdfbc910886f017d9f9ac931d8c64dd
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: c08863ffe4a63e2b2ca1cbfc0fe17bf68e5c6bb5e1488d0339654d8358e801be

first	last
3400	4DBF
4E00	9FFF
FA0E	FA0F
FA11	FA11
FA13	FA14
FA1F	FA1F
FA21	FA21
FA23	FA24
FA27	FA29
20000	2A6DF
2A700	2B81D
2B820	2CEAD
2CEB0	2EBE0
2EBF0	2EE5D
30000	3134A
31350	33479
