# spec/derived/scripts.tsv
#
# Generated by `cargo run -p xtask -- derive`. Do not edit. `derive --check`
# fails when rereading the snapshot would change a byte, and a hand edit is a bug
# even when it is correct, because the next revision of the specification will
# not carry it forward (ADR 0009).
#
# The Script=Hiragana and Script=Katakana ranges, which §C.2 note 3's small-kana fallback reads.
#
# Source: spec/snapshot/ucd/Scripts.txt
# Source SHA-256: 9f5e50d3abaee7d6ce09480f325c706f485ae3240912527e651954d2d6b035bf
# Reader: xtask/src/classes.rs, xtask/src/derive.rs
# Reader SHA-256: aa04cdfeac9951ff411834cab798953c48116aeabdfee532265b930dbbc57f1b

script	first	last
Hiragana	3041	3096
Hiragana	309D	309E
Hiragana	309F	309F
Katakana	30A1	30FA
Katakana	30FD	30FE
Katakana	30FF	30FF
Katakana	31F0	31FF
Katakana	32D0	32FE
Katakana	3300	3357
Katakana	FF66	FF6F
Katakana	FF71	FF9D
Katakana	1AFF0	1AFF3
Katakana	1AFF5	1AFFB
Katakana	1AFFD	1AFFE
Katakana	1B000	1B000
Hiragana	1B001	1B11F
Katakana	1B120	1B122
Hiragana	1B132	1B132
Hiragana	1B150	1B152
Katakana	1B155	1B155
Katakana	1B164	1B167
Hiragana	1F200	1F200
